Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Expression pHDB3	Expression pLCV1	qValue pHDB3 vs pLCV1	Fold-change pLCV1/pHDB3
	3072711	3071998	3071944	-	yggC	b2928	conserved protein with nucleoside triphosphate hydrolase domain	114	101	0.030499885	0.885964912
4630695	4630783	4631109	4631238	+	trpR	b4393	DNA-binding transcriptional repressor, tryptophan-binding	209	192	0.031779338	0.918660287
2735119	2735176	2735517	2735531	+	raiA	b2597	cold shock protein associated with 30S ribosomal subunit	859	731	0.0320583	0.850989523
4021536	4021577	4022359	4022412	+	tatD	b4483	quality control of Tat-exported FeS proteins; Mg-dependent cytoplasmic DNase	83	75	0.033950516	0.903614458
3330920			3331020	+	-	predicted RNA	antisense: rpmA	4408	3441	0.034558274	0.780626134
3254700	3254673	3253363	3253363	-	yhaM	b4470	conserved protein	182	137	0.034614335	0.752747253
1923044	1922993	1922619	1922616	-	yobA	b1841	conserved protein	184	170	0.036052854	0.923913043
2280539	2280539	2280823	2280823	+	rplY	b2185	50S ribosomal subunit protein L25	14676	13268	0.036468774	0.904061052
	2549748	2549299	2549239	-	yfeZ	b2433	inner membrane protein	156	145	0.036913805	0.929487179
776963	776963	778255	778289	+	tolB	b0740	periplasmic protein	3359	3223	0.037730614	0.959511759
202101	202101	202556	202559	+	fabZ	b0180	(3R)-hydroxymyristol acyl carrier protein dehydratase	9255	8531	0.037973167	0.921772015
1082599	1082599	1083870	1083870	+	efeB	b1019	deferrrochelatase, periplasmic	66	58	0.038208796	0.878787879
2871391	2871359	2871036	2870850	-	ygbE	b2749	conserved inner membrane protein	161	142	0.039626177	0.881987578
	1266147	1266539	1266539	+	ychQ	b1213	predicted inner membrane protein, SIRB family	174	162	0.04474869	0.931034483
3315575	3315548	3314061	3314061	-	nusA	b3169	transcription termination/antitermination L factor	3050	3101	0.04474869	1.016721311
2228419	2228407	2227460	2227460	-	dusC	b2140	tRNA-dihydrouridine synthase C	69	64	0.045137241	0.927536232
507320	507304	506510	506510	-	ybaP	b0482	GumN family protein	61	54	0.046054168	0.885245902
1669971	1669984	1670805	1670805	+	ydgD	b1598	predicted peptidase	53	47	0.047108252	0.886792453
1489457	1489701	1489874	1490050	+	ydcA	b1419	predicted protein	261	230	0.047112603	0.881226054
865771	865791	866756		+	iaaA	b0828	Isoaspartyl peptidase	71	66	0.048135278	0.929577465
567472	567538	567870	567891	+	emrE	b0543	DLP12 prophage; multidrug resistance protein	203	190	0.052766583	0.935960591
2794823	2794808	2794359	2794359	-	ygaU	b2665	predicted protein	161	150	0.05341042	0.931677019
2520568	2520499	2519615	2519615	-	xapR	b2405	DNA-binding transcriptional activator for for xapAB	83	77	0.053649709	0.927710843
4541011	4541138	4541686	4541706	+	fimA	b4314	major type 1 subunit fimbrin (pilin)	186	270	0.055181952	1.451612903
3099828	3099645	3098926	3098926	-	yggN	b2958	predicted protein	94	88	0.055409823	0.936170213
71337	71351	72115	72115	+	yabI	b0065	inner membrane protein, SNARE_assoc family	96	89	0.057001387	0.927083333
4056196	4056430	4058253	4058279	+	typA	b3871	GTP-binding protein	2457	2522	0.058229778	1.026455026
1607050	1607046	1606132	1606128	-	yneE	b1520	predicted inner membrane protein, bestrophin family	48	43	0.059204619	0.895833333
3305972	3305955	3305875		-	yrbN	b4685	expressed protein	1159	993	0.060066382	0.85677308
1341491	1341352	1341134	1341083	-	osmB	b1283	lipoprotein	234	209	0.06255755	0.893162393
110985	111044	111433	111622	+	mutT	b0099	nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP	131	117	0.064131711	0.893129771
3214779	3214801	3215424	3215424	+	yqjI	b3071	predicted transcriptional regulator, PadR family	108	102	0.065163189	0.944444444
1342661	1342633	1342460	1342371	-	yciZ	b4596	hypothetical protein	436	402	0.066048535	0.922018349
	4075038	4075475		+	dtd	b3887	D-tyr-tRNA(Tyr) deacylase	159	149	0.066076256	0.937106918
1028001	1027944	1027627	1027627	-	hspQ	b0966	heat shock protein involved in degradation of mutant DnaA; hemimethylated oriC DNA-binding protein	148	132	0.066797885	0.891891892
2170944	2170897	2169857	2169498	-	gatD	b2091	galactitol-1-phosphate dehydrogenase, Zn-dependent and NAD(P)-binding	92	130	0.068151636	1.413043478
1646494	1646532	1646687	1646688	+	ydfA	b1571	Qin prophage; predicted protein	79	64	0.070349061	0.810126582
1496536	1496675	1496899	1496961	+	ydcH	b1426	predicted protein	100	123	0.072223869	1.23
3247703	3247705	3248109		+	yqjE	b3099	inner membrane protein, DUF1469 family	202	183	0.073341748	0.905940594
2249722	2249722	2250810	2250810	+	yeiI	b2160	predicted kinase	68	63	0.073427708	0.926470588
2665885	2665868	2664729	2664711	-	hcaT	b2536	predicted 3-phenylpropionic transporter	45	41	0.073427708	0.911111111
3875534	3875488	3875090	3874989	-	yidB	b3698	conserved protein, DUF937 family	160	150	0.073427708	0.9375
3246458	3246461	3246844	3246990	+	mzrA	b3096	modulator of EnvZ/OmpR regulon	210	191	0.074670783	0.90952381
2424022	2423938	2423252		-	hisQ	b2308	histidine/lysine/arginine/ornithine transporter permease subunit	87	81	0.07663982	0.931034483
2660153	2660153	2659665	2659554	-	iscR	b2531	DNA-binding transcriptional repressor	1044	1333	0.07663982	1.276819923
3809823	3809697	3809461	3809441	-	rpmB	b3637	50S ribosomal subunit protein L28	18364	18835	0.07663982	1.025648007
1986705	1986740	1987237	1987278	+	ftnA	b1905	ferritin iron storage protein (cytoplasmic)	1103	1408	0.077716523	1.276518586
3445460	3445460	3444921	3444907	-	rplE	b3308	50S ribosomal subunit protein L5	33005	32749	0.077716523	0.992243599
3405289	3405397	3405639		+	yhdT	b3257	conserved inner membrane protein	191	172	0.079911624	0.90052356
2945409			2945485	+	metZ	b2814	Met tRNA	806	755	0.079958312	0.936724566
4512331	4512331	4511429		-	fecB	b4290	KpLE2 phage-like element; iron-dicitrate transporter subunit	51	46	0.079958312	0.901960784
3443628	3443619	3443266	3443252	-	rplR	b3304	50S ribosomal subunit protein L18	26785	23880	0.080301649	0.891543775
467594	467607	468065	468079	+	ybaO	b0447	predicted DNA-binding transcriptional regulator	98	88	0.081264996	0.897959184
1797825	1797773	1797417	1797325	-	rplT	b1716	50S ribosomal subunit protein L20	11362	10667	0.082577423	0.938831192
	2087489	2087235	2087153	-	yoeB	b4539	toxin of the YoeB-YefM toxin-antitoxin system	174	157	0.083063621	0.902298851
2426666	2426648	2426079	2426000	-	ubiX	b2311	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	72	64	0.083063621	0.888888889
1386316	1386954	1387919	1387961	+	ycjG	b1325	L-Ala-D/L-Glu epimerase	60	56	0.085274773	0.933333333
1390015	1390015	1390914	1390992	+	ycjZ	b1328	predicted DNA-binding transcriptional regulator	67	63	0.085274773	0.940298507
2714578	2714471	2714088	2714045	-	yfiD	b2579	autonomous glycyl radical cofactor	1741	1392	0.085274773	0.799540494
3268614			3268238	-	rnpB	b3123	-	29356	26377	0.085274773	0.898521597
3303839	3303839	3302595	3302595	-	mtr	b3161	tryptophan transporter of high affinity	42	38	0.085274773	0.904761905
3774640	3774403	3774194	3773755	-	yibT	b4554	predicted protein	305	289	0.085274773	0.947540984
4618850	4618906	4619625	4619706	+	deoD	b4384	purine-nucleoside phosphorylase	849	719	0.085274773	0.846878681
3542866	3542866	3542096	3542079	-	bioH	b3412	pimeloyl-ACP carboxylesterase	88	84	0.085511536	0.954545455
2727466			2727391	-	gltW	b2590	Glu tRNA	954	901	0.087132786	0.944444444
1225703	1225823	1226191	1226335	+	ycgJ	b1177	predicted protein	179	172	0.090176342	0.960893855
1616952	1616932	1616267	1616246	-	marC	b1529	inner membrane protein, UPF0056 family	136	120	0.090176342	0.882352941
	1791582	1790833	1790774	-	btuD	b1709	vitamin B12 transporter subunit : ATP-binding component of ABC superfamily	87	84	0.090176342	0.965517241
	2942564	2943007	2943045	+	csdE	b2811	CsdA-binding activator; Fe-S protein	184	168	0.090176342	0.913043478
3474648	3475662	3475880	3475880	+	slyX	b3348	protein required for phi X174 lysis	286	270	0.090176342	0.944055944
3964418			3964370	-	-	predicted RNA	-	1286	1222	0.097406545	0.950233281
2742593	2742552	2742205	2741931	-	rplS	b2606	50S ribosomal subunit protein L19	21397	18788	0.100871238	0.878067019
897171	897212	897700	897740	+	ybjO	b0858	inner membrane protein, DUF2593 family	119	111	0.105313152	0.932773109
	1353494	1352529		-	sapB	b1293	antimicrobial peptide transport ABC transporter permease	62	59	0.105313152	0.951612903
2078729	2078615	2077557	2077448	-	yeeA	b2008	inner membrane protein, FUSC family	49	45	0.105313152	0.918367347
2519275			2519350	+	lysV	b2404	Lys tRNA	827	789	0.105313152	0.954050786
2551244	2551247	2552146	2552146	+	hemF	b2436	coproporphyrinogen III oxidase	58	53	0.105313152	0.913793103
2556815	2556880	2558088	2558088	+	intZ	b2442	CPZ-55 prophage; predicted integrase	60	57	0.105313152	0.95
1533902	1533882	1532989	1532989	-	yddE	b1464	conserved predicted enzyme, PhzC-PhzF family	56	51	0.105489991	0.910714286
3236394	3236602	3237567	3237673	+	alx	b3088	inner membrane protein, part of terminus	96	84	0.105489991	0.875
	4348057	4347338	4347338	-	dcuR	b4124	DNA-binding response regulator in two-component regulatory system with DcuS	72	66	0.106636077	0.916666667
190264			190198	-	-	predicted RNA	antisense: rpsB	1046	1003	0.107479087	0.958891013
	2162300	2163022	2163022	+	baeR	b2079	DNA-binding response regulator in two-component regulatory system with BaeS	76	71	0.108113491	0.934210526
145062	145081	146310	146310	+	yadE	b0130	predicted polysaccharide deacetylase lipoprotein	59	56	0.10920965	0.949152542
395634	395863	397083	397083	+	sbmA	b0377	microcin B17 transporter	51	48	0.10920965	0.941176471
397084	397096	398190	398190	+	yaiW	b0378	probable lipoprotein required for swarming phenotype	56	54	0.10920965	0.964285714
632700	632700	631612	631580	-	ybdH	b0599	predicted oxidoreductase	58	56	0.10920965	0.965517241
1151075	1151162	1152403	1152403	+	fabF	b1095	3-oxoacyl-[acyl-carrier-protein] synthase II	4316	4218	0.10920965	0.977293791
2087757	2087737	2087486		-	yefM	b2017	antitoxin of the YoeB-YefM toxin-antitoxin system	205	188	0.10920965	0.917073171
2099401	2099292	2097886	2097858	-	gnd	b2029	6-phosphogluconate dehydrogenase, decarboxylating	2927	2913	0.10920965	0.995216946
757780	757929	760730	760730	+	sucA	b0726	2-oxoglutarate decarboxylase, thiamin-requiring	465	541	0.109579105	1.16344086
2311111	2310771	2309668	2309619	-	ompC	b2215	outer membrane porin protein C	9339	8546	0.110047051	0.915087268
	1352542	1351652		-	sapC	b1292	antimicrobial peptide transport ABC transporter permease	72	69	0.110479097	0.958333333
2173080	2173071	2172619	2172598	-	gatA	b2094	galactitol-specific enzyme IIA component of PTS	673	928	0.112651668	1.378900446
3089888	3089900	3090850	3090948	+	gshB	b2947	glutathione synthetase	365	316	0.118518842	0.865753425
1228031	1228038	1228499	1228588	+	ycgN	b1181	conserved protein	137	133	0.121094102	0.97080292
1242307	1242303	1241389	1241344	-	ldcA	b1192	L,D-carboxypeptidase A	89	82	0.121094102	0.921348315
1797527			1797596	+	-	predicted RNA	antisense: rplT	929	901	0.121094102	0.969860065
	3232166	3231750	3231750	-	higA	b3082	antitoxinof the HigB-HigA toxin-antitoxin system	103	94	0.12217938	0.912621359
4604188			4604102	-	leuV	b4368	Leu tRNA	890	834	0.12217938	0.937078652
1732416	1732459	1733274	1733274	+	ydhO	b1655	predicted peptidase, C40 clan	67	62	0.122534468	0.925373134
2530363	2530431	2531402	2531474	+	cysK	b2414	cysteine synthase A, O-acetylserine sulfhydrolase A subunit	594	522	0.125573053	0.878787879
3490543	3490590	3491771	3491771	+	tsgA	b3364	predicted transporter	203	165	0.125831944	0.812807882
1639715	1639578	1639363	1639363	-	cspB	b1557	Qin prophage; cold shock protein	71	57	0.126905862	0.802816901
1846717	1846700	1846149	1846033	-	ydjA	b1765	predicted oxidoreductase	99	92	0.126905862	0.929292929
1989838	1989643	1988978	1988885	-	yecA	b1908	conserved protein, UPF0149 family	87	82	0.126905862	0.942528736
3934277	3934301	3935191	3935269	+	rbsB	b3751	D-ribose transporter subunit	677	863	0.126905862	1.274741507
1662530	1662530	1663144	1663144	+	dmsD	b1591	twin-argninine leader-binding protein for DmsA and TorA	96	91	0.127883585	0.947916667
	2036176	2034818	2034818	-	yedV	b1968	predicted sensory kinase in two-component regulatory system with YedW	42	39	0.129001359	0.928571429
3066194	3066102	3065362	3065275	-	yggE	b2922	oxidative stress defense protein	378	332	0.129001359	0.878306878
2590757	2590784	2590984	2591081	+	ypfN	b4547	predicted membrane protein, UPF0370 family	201	179	0.129308813	0.890547264
2870972	2870842	2870531	2870531	-	ftsB	b2748	cell division protein	943	851	0.129308813	0.902439024
	3890788	3891747	3891747	+	yidZ	b3711	predicted DNA-binding transcriptional regulator	47	43	0.129599233	0.914893617
3441044			3441102	+	-	predicted RNA	antisense: secY	992	942	0.130506882	0.949596774
1718937	1719049	1719285	1719287	+	ydhI	b1643	predicted inner membrane protein	176	159	0.131345253	0.903409091
2713355	2713342	2712461	2712461	-	yfiE	b2577	predicted DNA-binding transcriptional regulator	49	45	0.132183435	0.918367347
	1763656	1763246	1763217	-	ydiI	b1686	acyl-CoA esterase in vitro	137	129	0.138250239	0.941605839
2969156	2969293	2969511	2969553	+	ygdR	b2833	novel lipoprotein	203	188	0.140779701	0.926108374
2042573			2042648	+	asnT	b1977	Asn tRNA	152	127	0.140908124	0.835526316
	3586136	3585393	3585393	-	ugpQ	b3449	glycerophosphodiester phosphodiesterase, cytosolic	62	58	0.141629712	0.935483871
3836254	3836271	3837194	3837194	+	yicL	b3660	predicted inner membrane protein	78	75	0.141629712	0.961538462
1627192	1627239	1627442	1627504	+	ydfZ	b1541	selenoprotein, function unknown	79	64	0.142596701	0.810126582
1914282	1914282	1915565		+	yebS	b1833	inner membrane protein	52	51	0.142596701	0.980769231
3681524	3681470	3680184	3680184	-	dctA	b3528	C4-dicarboxylic acid, orotate and citrate transporter	94	128	0.142596701	1.361702128
51228	51222	50380	50380	-	apaH	b0049	diadenosine tetraphosphatase	90	85	0.143387887	0.944444444
1248347	1248337	1246919	1246821	-	dhaM	b1198	fused predicted dihydroxyacetone-specific PTS enzymes: HPr component/EI component	191	242	0.143387887	1.267015707
1682208	1682283	1683212	1683212	+	tus	b1610	inhibitor of replication at Ter, DNA-binding protein	56	53	0.143387887	0.946428571
1797709			1797866	+	-	predicted RNA	antisense: rplT rpmI	1718	1496	0.143387887	0.870779977
1877314	1877279	1877031	1877031	-	yeaQ	b1795	conserved protein, UPF0410 family	196	182	0.143387887	0.928571429
2172618	2172588	2172304	2172301	-	gatB	b2093	galactitol-specific enzyme IIB component of PTS	348	470	0.143387887	1.350574713
2422538	2422531	2421758	2421758	-	hisP	b2306	histidine/lysine/arginine/ornithine transporter subunit	56	51	0.143387887	0.910714286
3153240	3153240	3152284	3152085	-	yqhC	b3010	transcriptional activator of yqhD	58	55	0.143387887	0.948275862
3408143	3408302	3409267	3409267	+	dusB	b3260	tRNA-dihydrouridine synthase B	7573	6862	0.143387887	0.906113825
3443630			3443739	+	-	predicted RNA	antisense: rplF	2545	2253	0.143387887	0.885265226
3850912	3850807	3849119	3849116	-	ilvB	b3671	acetolactate synthase I, large subunit	164	209	0.143387887	1.274390244
4110322	4110338	4110778	4110894	+	yiiR	b3921	predicted inner membrane protein, DUF805 family	176	166	0.143387887	0.943181818
4423543	4423543	4423857	4423861	+	priB	b4201	primosomal protein N	48106	45089	0.143387887	0.93728433
1875556	1875556	1875302	1875301	-	yoaF	b1793	conserved outer membrane lipoprotein	59	48	0.143824647	0.813559322
	3347831	3347103	3347048	-	mtgA	b3208	biosynthetic peptidoglycan transglycosylase	66	61	0.148087922	0.924242424
4258045	4258026	4257511	4257497	-	zur	b4046	DNA-binding transcriptional repressor, Zn(II)-binding	137	132	0.148087922	0.96350365
409310	409368	410276	410276	+	mak	b0394	manno(fructo)kinase	44	40	0.148344709	0.909090909
1439814	1439767	1439345	1439271	-	hslJ	b1379	heat-inducible lipoprotein involved in novobiocin resistance	140	135	0.148785401	0.964285714
3054172			3054083	-	-	predicted RNA	antisense: ssrS	902	841	0.150560266	0.932372506
2379579	2379565	2379104	2379050	-	elaA	b2267	predicted acyltransferase with acyl-CoA N-acyltransferase domain	118	111	0.151014288	0.940677966
	904136	904966	904966	+	amiD	b0867	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; OM lipoprotein	77	76	0.151184612	0.987012987
1863677	1863660	1862806	1862806	-	yeaE	b1781	aldo-keto reductase, methylglyoxal to acetol, NADPH-dependent	50	46	0.151184612	0.92
1906816	1906790	1906647	1906573	-	mgrB	b1826	regulatory peptide for PhoPQ, feedback inhibition	522	498	0.151184612	0.954022989
2753953			2753707	-	-	predicted RNA	antisense: ssrA	40061	37580	0.153866487	0.938069444
4010859	4010839	4009886	4009825	-	metR	b3828	DNA-binding transcriptional activator, homocysteine-binding	49	46	0.155733856	0.93877551
2410111	2410111	2409461	2409461	-	yfbT	b2293	sugar phosphatas	147	128	0.159053166	0.870748299
	4575981	4574935	4574935	-	mcrC	b4345	5-methylcytosine-specific restriction enzyme McrBC, subunit McrC	54	51	0.164099899	0.944444444
897731	897741	898868	898868	+	rumB	b0859	23S rRNA m(5)U747 methyltransferase	73	68	0.165380195	0.931506849
